section,query_or_page,clicks,impressions,ctr,position
top_queries,cold room repair london,129,198,0.6515151515151515,4.898989898989899
top_queries,commercial fridge repair london,43,171,0.25146198830409355,12
top_queries,fridge repair london,31,203,0.15270935960591134,18.04433497536946
top_queries,freezer repair london,20,99,0.20202020202020202,23.151515151515152
top_queries,cold direct,17,70,0.24285714285714285,2.4142857142857146
top_queries,commercial freezer repair london,10,13,0.7692307692307693,4.769230769230769
top_queries,ice cream machine repair,7,67,0.1044776119402985,9.029850746268657
top_queries,freezer room repair london,5,25,0.2,31.6
top_queries,ice machine repair london,5,7,0.7142857142857143,5.714285714285714
top_queries,ice cream machine repair near me,4,38,0.10526315789473684,8.289473684210527
top_pages,https://www.colddirect.co.uk/,239,5216,0.04582055214723926,28.85448619631902
top_pages,https://www.colddirect.co.uk/cold-room-repairs-london,112,1269,0.08825847123719464,36.333333333333336
top_pages,https://www.colddirect.co.uk/ice-cream-maker-repairs-london,38,668,0.05688622754491018,12.211077844311378
top_pages,https://www.colddirect.co.uk/polar-repairs-london,37,441,0.08390022675736962,26.875283446712018
top_pages,https://www.colddirect.co.uk/walk-in-freezer-repairs-london,23,362,0.06353591160220995,27.240331491712706
top_pages,https://www.colddirect.co.uk/william-repairs-london,18,365,0.049315068493150684,47.054794520547944
top_pages,https://www.colddirect.co.uk/wine-cooler-repairs-london,18,409,0.044009779951100246,14.19315403422983
top_pages,https://www.colddirect.co.uk/foster-repairs-london,15,177,0.0847457627118644,26.93220338983051
top_pages,https://www.colddirect.co.uk/walk-in-fridge-repairs-london,15,331,0.045317220543806644,33.74622356495468
top_pages,https://www.colddirect.co.uk/ice-cream-machine-repair-london,14,95,0.14736842105263157,34.01052631578948
check1,cold room repair london | /cold-room-repairs-london,100,162,0.6172839506172839,2.9135802469135803
check2,fridge repair london | https://www.colddirect.co.uk/,29,145,0.2,12.586206896551724
check2,fridge repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,2,48,0.041666666666666664,62.541666666666664
check2,fridge repair london | https://www.colddirect.co.uk/fridge-repairs-london,0,38,0,43.26315789473684
check2,fridge repair london | https://www.colddirect.co.uk/walk-in-fridge-repairs-london,0,18,0,5.666666666666667
check2,fridge repair london | https://www.colddirect.co.uk/whirlpool-repairs-london,0,9,0,17
check2,fridge repair london | https://www.colddirect.co.uk/foster-fridge-repair-london.html,0,6,0,34.5
check2,freezer repair london | https://www.colddirect.co.uk/,8,57,0.14035087719298245,18.859649122807017
check2,freezer repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,11,51,0.21568627450980393,41.15686274509804
check2,freezer repair london | https://www.colddirect.co.uk/freezer-repairs-london,1,14,0.07142857142857142,38.57142857142857
check3,commercial fridge repair london,43,171,0.25146198830409355,12
